s,,,
STT,Tên sách,Link,
0,Dolphin 1-7,https://drive.google.com/drive/folders/1UqhwOwKabMf29XtQzWiQLDsQYiKZlzY-,
,,https://drive.google.com/folderview?id=1wU8HECc-rxzY9HDqkfLOwP-FhxmmEYj0,
1,Oxford phonics world 10q,https://drive.google.com/file/d/1L7TaVb7xrHXj6VY9QPVCAm6OwzOOMNfY/view?usp=sharing,
,"video, audio, pdf",https://drive.google.com/drive/mobile/folders/1B1Pu0I5VXSa-FHexUpOAavmgrSM6psoe?fbclid=IwAR3Kn3JtKRVL1eKpsGAslQyGmJP3hvct5R7NZCDdI-EUvewgv8kuFrOPdBE&zarsrc=30&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo,
2,Reading with phonics 20q:,https://www.makebelieveideas.com/qr-content/reading-with-phonics/?fbclid=IwAR2wsjke7fzLI04FkY1db1So9H58b8GPgFrrHqSiYj_o8_dC51XsBEf5z7w,
3,Usborne phonics reader 20q : 10/20q có file nghe:,https://drive.google.com/drive/u/0/folders/0BzAn4LQIxBwEVjRRZWpjdThyWFk,
4,Learning to get along,https://drive.google.com/file/d/1opzf8_B3mk7I06A1FYBGR0hUF51Ph7dU/view?usp=drive_open&fbclid=IwAR3OKgpFC_85ZXpu712wZSGELR5inYkIaF9ypYphfBLRPlnC0upydaTgx7E,
5,Dr seuss Classic cổ điển,https://drive.google.com/file/d/1O52rbN2NYtcNN8b-ungO_3sgFhvpxozj/view?fbclid=IwAR1Pf2WUVVKMKCR2uMZF8ABpOKPjYrdcFXmAhG__fXj7rDEVLYSV0kDOwd0,
6,Dr seuss khoa học - 33 books: ,https://drive.google.com/file/d/1tZ-7EULcOljhKghx_6GMYF-Yp4vdp31C/view?fbclid=IwAR158b5Ii6DKYClhWcdL3lqTtsDyOh9jieFs5pqXx4PC4t5gjUzP7-Ryhfo,
7,The things I love about - 8 books:,https://drive.google.com/drive/folders/1k1Q7R6DgIl4lcV_dgRrO4207w83cDkLL?fbclid=IwAR2X__Nry2nJf6NsWPISGpgT4Yg2lUu4CNPvXcZPaI8LGt4xOq9JwX6w020,
